date: 2019-8-10
categories: Daily_Life
tags: [双认证,材料准备,签证,Summary]
comments: true
title: 荷兰MVV签证材料的双认证

---
> 注：转载请注明出处，以下内容均为个人总结，不保证百分百正确性和完整性，请酌情参考
 

### **[申办领事认证须知](http://cs.mfa.gov.cn/zggmcg/lsrz/)**

### **派出所证明**

#### 材料

![image_1di0n9a93si5eossv61g8moe413.png-707.3kB][2]

#### 材料翻译

![image_1di0n9pch1v41ni36r24tg17991g.png-113.3kB][3]

#### 公证书

![image_1di0naujn1ifg1ge0fjs1tkl2d41t.png-796.4kB][4]

#### 公证书翻译

![image_1di0nbeju1p8n1n0d1889amm6222a.png-104.8kB][5]


### **医院证明**

#### 材料

![image_1di0neqpu1l7d14vfqtj1a0al2r2n.png-713.5kB][6]

#### 材料翻译

![image_1di0nf9olre919fuau585vm0t34.png-82.9kB][7]

#### 公证书

![image_1di0nfqat191656hh7mcer19s03h.png-707.6kB][8]

#### 公证书翻译

![image_1di0ngoi36l4jh21pff10kt14p53u.png-99.6kB][9]

### **附件一**

![image_1di0njr7k1mmkrs8m54397q944b.png-2920.8kB][10]

### **附件二**

![image_1di0nmgc37lg1i0qpgb4e7acl1l.png-4432kB][11]

### **附件三**

![image_1di0nn36a1cls195c1uoj11v5hro27.png-3838.8kB][12]

### **附件四**

![image_1di0nks032bq1ausicgscm1plhr.png-1577.2kB][13]


  [1]: http://static.zybuluo.com/EVA001/k9f5m603gr3noliatokbfixj/image_1di0ohcss1oth13d21b5d1rdqtur2k.png
  [2]: http://static.zybuluo.com/EVA001/ieenlipbnuob0fkb4gu1bnzm/image_1di0n9a93si5eossv61g8moe413.png
  [3]: http://static.zybuluo.com/EVA001/59g8x982r6fhqura9rof0rfe/image_1di0n9pch1v41ni36r24tg17991g.png
  [4]: http://static.zybuluo.com/EVA001/3l0tldyx1pwdfmgs696tbg9f/image_1di0naujn1ifg1ge0fjs1tkl2d41t.png
  [5]: http://static.zybuluo.com/EVA001/1zp8v5zdzzbb259p0ddgrgg9/image_1di0nbeju1p8n1n0d1889amm6222a.png
  [6]: http://static.zybuluo.com/EVA001/58x4z0bu12mc1bxbs4vcyk6l/image_1di0neqpu1l7d14vfqtj1a0al2r2n.png
  [7]: http://static.zybuluo.com/EVA001/olggx0yplxhj3tai4h8ucnrk/image_1di0nf9olre919fuau585vm0t34.png
  [8]: http://static.zybuluo.com/EVA001/slismzjv9b357mm318hefxt9/image_1di0nfqat191656hh7mcer19s03h.png
  [9]: http://static.zybuluo.com/EVA001/gh7zpysp0ryg2hd59toikgsu/image_1di0ngoi36l4jh21pff10kt14p53u.png
  [10]: http://static.zybuluo.com/EVA001/dxfjdgpjzmeqo8vraykc8ffm/image_1di0njr7k1mmkrs8m54397q944b.png
  [11]: http://static.zybuluo.com/EVA001/12haqe8zdqkgzrtovoidf2wy/image_1di0nmgc37lg1i0qpgb4e7acl1l.png
  [12]: http://static.zybuluo.com/EVA001/yhker2eygn94srdpmrpy990k/image_1di0nn36a1cls195c1uoj11v5hro27.png
  [13]: http://static.zybuluo.com/EVA001/5aw5t0lc162sx8a1z022d5ew/image_1di0nks032bq1ausicgscm1plhr.png
